dataset_type,file_name,certificate_id,supplier_name,associated_sku,audit_status,screening_priority_score,tested_lead_ppm,flagged_issues_detail
Synthetic,cert_02_expired_elec.pdf,ROHS-CN-2022-10492,"Shenzhen Shentech Electronics Co., Ltd.",SKU-ELEC-8812,REJECTED,90,450,WARNING: Missing standard EN 62368-1:2020 (Audio/Video & IT Equipment Safety); CRITICAL: Certificate expired on 2025-01-09; WARNING: Document issue date is older than 2 years baseline
Synthetic,cert_04_valid_wireless_earbuds.pdf,RED-EU-2026-88102,AudioTech Solutions HK Ltd.,SKU-ELEC-9001,PASS,10,320,
Synthetic,cert_05_missing_red_smartwatch.pdf,CE-CN-2025-55109,"Guangzhou Wearable Tech Co., Ltd.",SKU-ELEC-9002,FLAGGED,75,510,CRITICAL: Missing mandatory RED Directive 2014/53/EU (Radio Equipment)
Synthetic,cert_06_excess_lead_powerbank.pdf,ROHS-FAIL-2026-901,PowerMax Energy Ltd.,SKU-ELEC-9003,REJECTED,95,1450,CRITICAL: Missing mandatory EN 62133-2:2017 (Battery Safety Standard); CRITICAL: Measured lead (1450 ppm) exceeds threshold (1000 ppm)
Synthetic,cert_07_suspicious_lab_monitor.pdf,CERT-FAKE-99042,Apex Display Systems Inc.,SKU-ELEC-9004,REJECTED,85,210,CRITICAL: Unrecognized or suspicious lab accreditation ID 'FAKE-ACC-000'
Synthetic,cert_08_expiring_soon_usb_hub.pdf,CE-EU-2023-11029,Dongguan Peripheral Cables Co.,SKU-ELEC-9005,FLAGGED,60,390,WARNING: Certificate expires within 30 days (2026-09-15)
Synthetic,cert_09_valid_smart_speaker.pdf,RED-DE-2026-00418,SoundHome Audio GmbH,SKU-ELEC-9006,PASS,10,180,
Real-World,03- RoHS DoC V2023012303 Envoys.pdf,V2023012303,"Enphase Energy, Inc.",SKU-PWR-AM1-240,FLAGGED,55,1000,WARNING: Missing certificate issue date
Real-World,ACH480_RoHS_DoC.pdf,3AXD10000746646,ABB Oy,SKU-DRV-ACH480,FLAGGED,75,,CRITICAL: Missing mandatory Directive 2011/65/EU; WARNING: Document issue date is older than 2 years baseline
Real-World,RoHS-Certificate-of-Compliance-Concens-Declaration-of-Conformity-Rev.2-20200120.pdf,,Concens A/S,SKU-ACT-CON-REV2,FLAGGED,65,1000,WARNING: Document issue date is older than 2 years baseline
Real-World,RoHS_REACH_PROP65_Declaration_of_Conformity.pdf,,"Apogee Instruments, Inc.",SKU-SEN-APO-PROP,PASS,10,,
Real-World,UNOnext_CE_ROHS_Delta.pdf,,"Delta Electronics, Inc.",SKU-IOT-DLT-UNO,PASS,10,1000,
Real-World,Celestron Smartphone Adapter — RoHS Lab Report.pdf,,JIANLI MOULD FACTORY,SKU-OPT-CEL-81035,FLAGGED,70,500,WARNING: Document issue date is older than 2 years baseline; WARNING: Issuing lab lacks accreditation ID; WARNING: No measured lead value stated in test report
